id,make,model,year,number,date
115,Suzuki,Verona,2004,98,2/20/2020
116,Studebaker,Avanti,1961,34,10/23/2020
117,Nissan,Sentra,2008,65,2/20/2021
118,BMW,X5,2006,28,7/21/2019
119,Mazda,MX-5,2004,52,3/6/2019
120,Pontiac,Parisienne,1985,58,1/9/2020
121,Volvo,S80,2005,81,12/11/2019
122,Volkswagen,Jetta,1993,81,8/6/2019
123,Buick,Roadmaster,1995,60,4/8/2019
124,Dodge,Ramcharger,1993,57,9/13/2019
125,Land Rover,Range Rover,1991,62,11/3/2019
126,Maserati,430,1990,78,8/1/2020
127,Pontiac,Grand Prix,1993,99,12/19/2019
128,Ford,F350,2003,30,10/2/2019
129,Nissan,Maxima,2003,99,5/24/2019
130,Mercedes-Benz,300SE,1993,79,10/5/2020
131,Lincoln,Continental Mark VII,1986,46,11/3/2019
132,Land Rover,Range Rover,1995,93,5/10/2019
133,Ford,Explorer,1992,1,8/17/2020
134,Mercedes-Benz,E-Class,2010,48,8/10/2020
135,Suzuki,Aerio,2005,31,7/28/2020
136,Toyota,Matrix,2004,60,7/6/2020
137,Mercedes-Benz,SLS AMG,2011,86,11/10/2019
138,Mercedes-Benz,E-Class,1991,9,3/21/2020
139,Aston Martin,DBS,2010,9,11/11/2020
140,Chevrolet,Camaro,1970,73,1/22/2020
141,Toyota,Camry,2008,86,8/14/2019
142,Kia,Sorento,2006,85,8/17/2019
143,Mitsubishi,GTO,1991,9,4/22/2019
144,Suzuki,Vitara,1999,66,8/12/2020
145,Chevrolet,Aveo,2006,6,1/23/2021
146,Porsche,924,1988,52,9/12/2019
147,Nissan,Sentra,2004,46,7/6/2019
148,Lexus,SC,1993,60,4/13/2019
149,Pontiac,Grand Prix,1966,42,5/22/2020
150,Mazda,Mazda6,2012,89,2/16/2021
151,Hyundai,Genesis,2009,1,5/16/2019
152,Kia,Sephia,1997,6,10/31/2020
153,Hyundai,Accent,1996,21,1/4/2020
154,Volvo,XC70,2007,6,5/26/2019
155,Buick,Estate,1989,82,2/4/2020
156,Maserati,Biturbo,1986,52,2/6/2020
157,Volkswagen,Eurovan,1992,100,5/14/2020
158,Audi,200,1989,21,5/7/2020
159,Porsche,914,1970,1,1/12/2021
160,Buick,Regal,1986,8,9/8/2019
161,Mercedes-Benz,G-Class,2003,38,2/8/2019
162,Toyota,Tercel,1997,94,12/2/2020
163,BMW,7 Series,1999,58,8/23/2019
164,Mazda,MPV,2000,40,12/24/2020
165,Pontiac,Grand Prix,2007,43,2/3/2020
166,Chrysler,Fifth Ave,1993,37,5/12/2019
167,Volkswagen,Touareg,2007,93,2/5/2019
168,Infiniti,G,1993,17,7/26/2019
169,Acura,TSX,2012,95,3/2/2019
170,Dodge,Viper,1992,47,9/17/2020
171,Subaru,Tribeca,2010,88,4/29/2020
172,Ford,Escape,2012,14,11/22/2020
173,Buick,Lucerne,2011,63,3/28/2020
174,Infiniti,J,1993,74,3/11/2019
175,Hyundai,Tiburon,2001,98,8/2/2020
176,Chrysler,Concorde,1997,22,5/6/2020
177,Dodge,Neon,1998,85,11/6/2019
178,Audi,V8,1994,52,11/27/2019
179,Dodge,Neon,1998,99,6/16/2019
180,Oldsmobile,88,1997,50,10/30/2019
181,Suzuki,Swift,1992,67,8/10/2019
182,Mazda,Mazda3,2006,30,1/14/2021
183,Chevrolet,Malibu,2009,20,9/11/2020
184,Subaru,Forester,2001,50,5/5/2019
185,Nissan,Maxima,1999,50,10/7/2020
186,Chevrolet,Silverado 1500,2011,12,7/26/2020
187,Kia,Rio,2002,65,7/13/2020
188,Toyota,Corolla,1999,33,2/8/2020
189,Acura,TL,2011,94,3/9/2020
190,Nissan,370Z,2009,78,4/29/2020
191,Ford,LTD,1986,48,8/12/2020
192,Ford,Bronco,1992,93,6/27/2019
193,Ford,Thunderbird,2006,51,2/18/2020
194,Ford,Tempo,1986,31,10/1/2020
195,Land Rover,Defender 90,1995,53,7/31/2019
196,Mitsubishi,Mirage,1997,21,7/12/2020
197,Mercedes-Benz,SL-Class,1985,96,11/12/2019
198,Isuzu,Trooper,1998,44,3/30/2019
199,Ford,Explorer,2004,6,2/10/2019
200,Hyundai,Veloster,2013,58,8/2/2020
201,Mercedes-Benz,CLK-Class,2002,51,7/17/2020
202,Chevrolet,Silverado,2002,9,4/5/2020
203,Porsche,944,1984,79,8/5/2020
204,Honda,Pilot,2004,44,4/27/2019
205,Jaguar,X-Type,2003,45,10/9/2020
206,Lotus,Elise,2007,2,11/17/2019
207,Dodge,Ram Van 2500,1999,74,12/22/2020
208,Hyundai,Veracruz,2007,48,9/9/2019
209,Dodge,Intrepid,1998,29,3/14/2020
210,Volkswagen,Scirocco,1988,41,4/7/2020
211,Kia,Optima,2011,64,7/31/2020
212,Infiniti,Q,1994,99,7/17/2020
213,Dodge,Caravan,2010,72,4/27/2019
214,Saab,9-3,2007,45,9/5/2020
215,Suzuki,SX4,2008,82,4/21/2020
216,BMW,8 Series,1992,12,6/14/2020
217,Volkswagen,GTI,2011,80,3/8/2020
218,Infiniti,QX,2005,77,4/21/2019
219,Suzuki,Grand Vitara,2009,60,11/6/2020
220,Ford,Expedition,2003,59,6/18/2020
221,Ford,E250,2010,17,8/24/2020
222,Acura,RL,2009,68,10/30/2019
223,Rolls-Royce,Phantom,2005,78,6/27/2019
224,Chevrolet,Corvette,1955,85,1/15/2020
225,Dodge,Dakota,2007,58,10/31/2020
226,Toyota,Previa,1994,29,3/11/2019
227,Audi,A5,2010,83,12/18/2019
228,Subaru,Impreza,1999,58,7/21/2020
229,Jeep,Wrangler,1997,25,8/8/2019
230,Pontiac,Sunfire,1996,13,7/26/2019
231,GMC,Savana 2500,2007,59,5/22/2019
232,Nissan,Versa,2010,53,12/1/2019
233,Mercury,Milan,2007,60,12/24/2020
234,Porsche,944,1987,58,10/18/2019
235,Dodge,Dakota,1992,7,11/9/2020
236,Cadillac,Escalade ESV,2011,83,5/10/2020
237,Mitsubishi,Challenger,1997,18,11/24/2020
238,Dodge,Intrepid,1995,5,2/1/2019
239,Cadillac,DTS,2006,5,5/21/2019
240,Infiniti,Q,1996,83,4/21/2020
241,Chevrolet,2500,1997,63,10/23/2019
242,Mercedes-Benz,CL-Class,2003,81,1/28/2021
243,Audi,5000S,1986,81,2/13/2020
244,Dodge,Ram 1500,2003,38,10/8/2019
245,Kia,Sportage,2012,93,2/4/2020
246,Dodge,Ram Van B250,1994,63,7/20/2020
247,Ford,Crown Victoria,2009,78,6/28/2019
248,Porsche,928,1994,83,2/19/2021
249,GMC,Jimmy,1992,41,7/17/2019
250,Plymouth,Laser,1994,6,2/12/2020
251,Land Rover,Discovery,2011,10,8/11/2020
252,Lincoln,Town Car,2007,24,7/13/2020
253,Mercury,Mariner,2010,6,10/14/2019
254,Aston Martin,DBS,2012,64,2/3/2020
255,Hummer,H1,1997,38,2/24/2020
256,Chevrolet,Corvette,1997,66,3/14/2020
257,Nissan,Titan,2008,81,2/21/2021
258,Mazda,Mazda6 Sport,2006,84,1/1/2020
259,Ford,Expedition,2003,9,5/26/2019
260,Pontiac,Vibe,2004,71,8/30/2020
261,Chevrolet,Express,2006,9,3/21/2019
262,GMC,Sierra 3500,2007,6,1/15/2020
263,Dodge,Caravan,2001,10,5/25/2020
264,Audi,A3,2011,51,3/25/2019
265,Land Rover,Discovery,1998,27,2/12/2019
266,Pontiac,GTO,1965,99,5/14/2020
267,Chevrolet,TrailBlazer,2008,48,8/25/2019
268,Dodge,Dakota Club,1995,91,3/17/2019
269,Scion,xD,2009,2,9/21/2019
270,Mitsubishi,Eclipse,2004,27,10/25/2019
271,Honda,Civic,1999,21,11/2/2020
272,Dodge,Shadow,1994,61,11/13/2020
273,Mazda,CX-9,2010,10,5/23/2020
274,Mazda,RX-7,1993,1,7/13/2019
275,Acura,MDX,2011,77,11/10/2020
276,Toyota,Tacoma,2005,54,1/12/2020
277,Chevrolet,Cavalier,2005,56,3/23/2020
278,Lincoln,Navigator L,2007,82,6/7/2019
279,Volvo,C30,2012,48,6/18/2020
280,Lexus,ES,1998,69,5/8/2020
281,Ford,F350,2006,78,7/9/2020
282,Aston Martin,Vantage,2011,46,5/28/2019
283,Nissan,Pathfinder,1999,19,2/17/2021
284,Suzuki,Equator,2010,19,7/24/2019
285,Chevrolet,Suburban 1500,2004,51,9/25/2019
286,Dodge,Dakota,2004,28,12/2/2020
287,Volkswagen,Eurovan,2001,50,3/18/2019
288,Buick,Park Avenue,2001,22,4/12/2019
289,Cadillac,STS,2010,15,2/26/2020
290,Buick,Coachbuilder,1994,13,10/13/2020
291,Pontiac,6000,1990,58,8/1/2019
292,Ford,Courier,1987,62,10/11/2019
293,Suzuki,Forenza,2007,69,5/13/2019
294,Dodge,Durango,2000,65,1/25/2020
295,Ford,LTD,1985,77,12/10/2019
296,Subaru,Forester,2006,78,5/7/2020
297,Chrysler,Crossfire,2007,85,8/25/2019
298,Dodge,Ram 1500,1994,90,3/9/2020
299,Dodge,Intrepid,2003,8,2/21/2021
300,Mercedes-Benz,GL-Class,2011,23,5/18/2019
301,Volkswagen,GTI,1999,71,5/17/2020
302,Hyundai,Accent,1999,64,7/27/2019
303,Mercury,Topaz,1988,68,10/24/2020
304,Land Rover,Discovery,2010,72,11/12/2019
305,Ford,Explorer Sport,2003,55,7/20/2019
306,Plymouth,Colt,1992,14,11/8/2019
307,Plymouth,Grand Voyager,1993,45,3/20/2020
308,Chevrolet,Silverado 1500,2011,66,2/22/2021
309,Infiniti,Q,1999,1,12/8/2020
310,Pontiac,Sunfire,1996,28,1/13/2020
311,Nissan,Frontier,2003,56,3/3/2019
312,Mazda,MPV,1992,81,3/6/2020
313,Infiniti,QX,2003,90,5/19/2019
314,Chevrolet,Equinox,2011,55,9/11/2019
315,Alfa Romeo,164,1993,73,11/27/2019
316,GMC,Savana 1500,1998,21,7/24/2019
317,Ford,Mustang,1987,7,11/23/2019
318,BMW,3 Series,2011,44,7/24/2020
319,Maybach,57,2003,17,6/1/2020
320,Volvo,C30,2009,24,11/13/2020
321,Lexus,RX,2012,63,5/9/2019
322,Infiniti,I,2000,95,6/17/2019
323,Cadillac,DeVille,2001,89,2/11/2020
324,BMW,6 Series,1989,3,10/7/2020
325,Chevrolet,Suburban 2500,2003,4,1/23/2020
326,Nissan,Maxima,1998,77,7/14/2020
327,Dodge,Neon,2005,21,6/16/2019
328,Volvo,C70,2011,1,3/22/2019
329,Ford,Explorer Sport Trac,2004,35,12/4/2019
330,Mazda,Navajo,1994,7,7/17/2020
331,Mazda,626,1990,6,10/1/2019
332,Suzuki,XL-7,2008,68,12/26/2020
333,Nissan,Murano,2005,93,11/23/2020
334,Hyundai,Sonata,1994,45,4/13/2019
335,Hummer,H3,2008,49,11/20/2019
336,Audi,A4,2001,97,4/1/2020
337,Kia,Sorento,2012,3,1/6/2020
338,Mercury,Marquis,1984,54,7/18/2019
339,Land Rover,Range Rover,1996,56,11/12/2019
340,Ford,Bronco II,1989,11,2/18/2021
341,BMW,X3,2010,67,12/5/2019
342,Nissan,Sentra,2011,42,11/12/2019
343,Audi,TT,2010,51,2/1/2020
344,BMW,X6,2012,88,12/1/2019
345,Ford,Expedition,2010,39,7/3/2019
346,GMC,Savana 3500,1999,99,7/14/2019
347,GMC,2500,1993,44,10/19/2019
348,Lexus,IS,2004,90,4/10/2019
349,Chevrolet,Express,2011,75,8/22/2020
350,Mitsubishi,Starion,1987,48,5/30/2020
351,BMW,5 Series,1997,14,1/20/2021
352,Mercedes-Benz,SLK-Class,1999,30,2/6/2019
353,Mercury,Sable,1994,7,1/12/2021
354,Dodge,Avenger,1998,6,12/22/2019
355,Suzuki,Daewoo Lacetti,2007,38,2/12/2020
356,BMW,X5,2005,93,10/31/2019
357,Porsche,924 S,1987,99,9/13/2020
358,BMW,Z4,2010,27,12/11/2020
359,Chevrolet,Silverado 2500,2008,76,8/24/2019
360,Mazda,MPV,2002,86,3/10/2020
361,Volkswagen,Jetta,1990,4,6/15/2019
362,Acura,Integra,1998,66,7/13/2020
363,Mazda,CX-9,2012,51,10/26/2020
364,Infiniti,I,2004,96,7/3/2020
365,Volvo,V70,2010,81,7/4/2019
366,Scion,xA,2004,63,8/5/2019
367,Chevrolet,Colorado,2007,63,8/14/2020
368,Ford,F350,2010,44,2/3/2021
369,Ford,Courier,1986,40,5/16/2019
370,Volvo,XC70,2004,1,12/13/2020
371,Volkswagen,Golf III,1994,28,9/11/2019
372,Mercedes-Benz,S-Class,1999,54,2/26/2019
373,Mercedes-Benz,S-Class,2000,10,10/20/2019
374,Mitsubishi,Mirage,2002,37,5/24/2020
375,Lincoln,Town Car,2000,99,11/22/2020
376,Pontiac,LeMans,1991,21,6/12/2020
377,Mazda,Miata MX-5,2002,99,3/4/2020
378,GMC,Vandura 2500,1994,78,8/20/2019
379,Ford,Excursion,2002,13,4/17/2019
380,BMW,M5,1992,27,4/11/2019
381,Hyundai,Tiburon,2009,84,10/24/2019
382,Lexus,LS,2003,21,6/10/2020
383,GMC,Suburban 2500,1998,25,5/7/2019
384,Ford,Taurus,2003,18,8/6/2019
385,Pontiac,Sunbird,1994,86,3/2/2019
386,Eagle,Talon,1991,90,10/6/2020
387,GMC,Canyon,2012,68,10/8/2019
388,Mercedes-Benz,M-Class,2008,85,4/29/2019
389,Suzuki,SJ,1994,40,6/17/2020
390,Chevrolet,Malibu,2002,81,7/1/2020
391,BMW,325,2005,79,4/20/2020
392,Honda,Accord,1991,92,2/16/2019
393,Ford,Contour,2000,2,1/9/2020
394,Nissan,Maxima,1994,35,2/3/2021
395,Dodge,Dakota,1999,27,12/24/2019
396,Buick,Lucerne,2011,82,7/26/2019
397,Toyota,Tercel,1992,69,4/21/2020
398,Mercedes-Benz,M-Class,2005,6,11/13/2020
399,Volkswagen,GTI,1995,24,6/30/2020
400,Subaru,Justy,1988,10,12/26/2020
401,Ford,Fairlane,1965,1,1/25/2021
402,Acura,MDX,2008,57,5/7/2019
403,Pontiac,G6,2005,48,3/25/2019
404,Honda,Accord,2000,11,9/20/2020
405,Audi,Q5,2009,72,4/25/2020
406,GMC,Savana 3500,2011,27,3/5/2020
407,Lamborghini,Murciélago,2005,87,12/14/2019
408,Honda,Civic,2002,8,1/27/2021
409,Eagle,Talon,1996,5,6/17/2019
410,Lexus,GS,2007,13,9/17/2019
411,Ford,F250,1997,15,6/11/2019
412,Nissan,Titan,2009,79,10/18/2019
413,Volkswagen,Jetta,2004,28,3/7/2020
414,Jaguar,S-Type,2004,79,7/31/2019
415,Mazda,B-Series,1991,32,2/17/2021
416,GMC,Yukon,1995,59,6/22/2020
417,Saturn,Outlook,2009,92,10/12/2019
418,BMW,M5,2007,24,7/3/2020
419,Honda,S2000,2005,9,4/5/2019
420,Volvo,S60,2007,18,3/2/2019
421,Geo,Metro,1993,89,4/2/2019
422,Chevrolet,Blazer,1992,44,11/21/2019
423,Toyota,Solara,2004,54,1/24/2021
424,Mercedes-Benz,GLK-Class,2012,47,12/24/2019
425,Cadillac,Escalade,2006,81,10/11/2020
426,Mazda,MX-5,1997,33,6/30/2020
427,Nissan,Maxima,1995,50,7/1/2020
428,BMW,M5,2002,31,4/17/2019
429,Toyota,Camry,2012,17,12/1/2019
430,Toyota,Tundra,2012,57,4/17/2019
431,Mitsubishi,Mirage,1987,75,7/12/2020
432,Dodge,Dakota,2001,29,2/14/2019
433,Chevrolet,Colorado,2008,45,10/19/2020
434,GMC,Sierra 2500,2002,24,7/14/2020
435,Lincoln,MKZ,2010,60,6/18/2020
436,Infiniti,M,2007,16,3/3/2020
437,Volkswagen,Cabriolet,1998,85,7/14/2019
438,Mercedes-Benz,SL-Class,1991,8,8/8/2019
439,Chrysler,300M,1999,16,8/23/2019
440,Chevrolet,Volt,2011,85,7/9/2019
441,Toyota,Camry Hybrid,2008,32,7/20/2019
442,Cadillac,Escalade ESV,2010,4,6/18/2019
443,Mercedes-Benz,CL-Class,2006,30,9/30/2020
444,GMC,Yukon XL 1500,2001,61,8/9/2020
445,Ford,Excursion,2000,9,4/11/2020
446,GMC,Envoy,1999,42,1/21/2020
447,Saturn,VUE,2010,37,2/12/2019
448,Mercedes-Benz,S-Class,2012,24,10/15/2019
449,Mercury,Mountaineer,2005,55,9/28/2020
450,GMC,Envoy XL,2003,20,8/4/2020
451,Nissan,Quest,1993,51,12/18/2020
452,Mercedes-Benz,GLK-Class,2010,59,4/5/2019
453,Ford,Taurus,2002,33,2/2/2019
454,GMC,Savana 3500,2012,59,7/14/2019
455,Lexus,IS-F,2008,76,8/14/2020
456,Ford,Fusion,2012,32,3/11/2019
457,Dodge,Viper,2003,73,9/19/2019
458,Lexus,GS,2002,52,2/28/2020
459,GMC,Sierra 1500,2010,46,6/29/2020
460,Suzuki,Swift,1989,65,8/15/2019
461,Volvo,S80,2000,38,11/16/2019
462,Pontiac,Tempest,1966,96,11/1/2020
463,Mercury,Topaz,1994,37,9/16/2019
464,Audi,R8,2008,28,10/21/2019
465,Kia,Optima,2009,37,3/7/2020
466,Chevrolet,Monte Carlo,2004,91,3/6/2019
467,Pontiac,Firefly,1992,29,12/25/2020
468,Nissan,Sentra,1992,41,4/16/2019
469,Aston Martin,DBS,2008,7,1/5/2020
470,Honda,Passport,1999,32,2/19/2019
471,Ford,Thunderbird,1984,61,11/13/2020
472,BMW,525,2005,12,5/15/2019
473,Maserati,Coupe,2006,11,2/15/2021
474,BMW,530,2005,44,2/15/2019
475,Chevrolet,Blazer,2004,62,8/26/2020
476,Lamborghini,Murciélago LP640,2008,42,4/20/2019
477,Dodge,Dakota,2000,8,9/25/2020
478,Maserati,Spyder,2003,96,10/8/2019
479,Chevrolet,Corvette,2003,84,10/3/2020
480,Ford,Crown Victoria,1997,100,9/6/2020
481,Ford,Thunderbird,1965,66,2/9/2021
482,Mercedes-Benz,CLK-Class,2009,10,10/10/2020
483,Kia,Spectra,2005,42,2/14/2021
484,Audi,Allroad,2003,74,8/9/2019
485,Toyota,Land Cruiser,1999,90,12/10/2020
486,Subaru,Outback,2005,46,7/27/2019
487,Mitsubishi,Endeavor,2009,45,1/31/2020
488,Mazda,Mazda3,2010,3,7/6/2020
489,Isuzu,VehiCROSS,2001,93,12/15/2019
490,Mazda,323,1995,48,8/28/2019
491,Jaguar,XF,2010,68,10/20/2019
492,Plymouth,Voyager,1985,40,5/4/2020
493,Chevrolet,Cobalt,2009,32,4/12/2019
494,Lamborghini,Countach,1986,79,1/10/2021
495,Pontiac,LeMans,1988,22,3/21/2020
496,Mitsubishi,Montero,1997,45,9/7/2020
497,Acura,NSX,2001,8,1/13/2021
498,Chrysler,LHS,2001,95,1/30/2021
499,Toyota,Matrix,2004,73,8/3/2020
500,Mercedes-Benz,R-Class,2006,35,6/27/2019
501,Jaguar,S-Type,2003,5,12/24/2019
502,Pontiac,Firebird,2002,33,12/25/2020
503,Mercury,Cougar,2000,99,12/20/2019
504,Chevrolet,SSR,2003,79,1/20/2020
505,Infiniti,Q,1992,40,4/5/2019
506,Jeep,Compass,2007,16,7/15/2019
507,Porsche,Cayman,2011,36,11/29/2020
508,Ford,Freestyle,2005,73,5/12/2019
509,Mazda,MX-5,2001,38,2/27/2019
510,Toyota,Sequoia,2009,39,5/27/2019
511,Ford,Aspire,1997,78,12/31/2020
512,Land Rover,Range Rover Sport,2010,9,1/11/2020
513,Ford,Econoline E350,2001,22,7/4/2019
514,Toyota,Celica,2005,8,3/1/2019
515,Oldsmobile,Aurora,2001,71,2/4/2019
516,Mercury,Sable,1992,10,4/17/2020
517,Nissan,Pathfinder,2005,46,11/8/2019
518,Volvo,S40,2009,96,8/1/2020
519,Toyota,Highlander,2008,38,8/19/2019
520,Dodge,Neon,2001,80,8/11/2019
521,GMC,Yukon XL 1500,2008,69,2/22/2019
522,Jaguar,XJ Series,2001,59,8/5/2020
523,Nissan,Maxima,2004,28,2/10/2021
524,Maserati,Coupe,2005,50,4/16/2020
525,Dodge,Caravan,2007,73,11/10/2020
526,Mercedes-Benz,SL-Class,2000,85,7/4/2020
527,Ford,Bronco,1986,67,3/13/2020
528,Chevrolet,Express 3500,2008,20,8/22/2020
529,Mercedes-Benz,S-Class,2006,39,3/19/2020
530,Volvo,S40,2001,66,9/14/2019
531,Maserati,GranSport,2005,1,4/12/2019
532,Dodge,Viper,2005,45,1/4/2021
533,Buick,LaCrosse,2009,77,4/22/2019
534,Chevrolet,Express 3500,2012,36,2/28/2019
535,Buick,Century,1991,67,3/10/2019
536,Land Rover,Discovery,2002,35,6/27/2020
537,Mercury,Tracer,1991,12,11/30/2020
538,Lexus,LS,2005,79,4/13/2020
539,Lotus,Evora,2011,90,3/5/2020
540,Chevrolet,Blazer,1996,57,3/3/2019
541,MINI,Cooper Clubman,2008,93,2/14/2020
542,Ferrari,458 Italia,2012,81,2/9/2019
543,Isuzu,Ascender,2009,13,11/16/2020
544,Hyundai,Veracruz,2011,56,7/23/2020
545,Acura,RSX,2003,50,6/3/2019
546,Ford,Contour,1998,23,1/6/2020
547,Audi,Cabriolet,1997,35,4/11/2019
548,Cadillac,Seville,2000,94,4/20/2019
549,Nissan,Sentra,2008,41,11/3/2020
550,Pontiac,Montana,2003,89,1/1/2020
551,Mercedes-Benz,SLR McLaren,2005,73,11/9/2020
552,Suzuki,Grand Vitara,2004,64,12/23/2019
553,Buick,Riviera,1985,18,10/15/2019
554,Chevrolet,Lumina,1996,22,9/10/2019
555,Plymouth,Voyager,1994,78,3/12/2020
556,Pontiac,Sunfire,1995,63,11/1/2020
557,Oldsmobile,Aurora,2001,42,11/11/2019
558,Plymouth,Prowler,2000,61,10/27/2019
559,Toyota,FJ Cruiser,2008,16,6/25/2019
560,Ford,F350,2010,8,4/11/2019
561,Mercedes-Benz,M-Class,2003,56,6/4/2019
562,Audi,A6,1996,53,3/24/2020
563,Cadillac,SRX,2007,60,8/25/2020
564,Maybach,62,2003,100,11/29/2019
565,Dodge,Ram Van 3500,1999,61,1/15/2021
566,Lexus,GS,1995,8,8/16/2020
567,GMC,Savana 1500,1998,71,8/25/2020
568,BMW,X5,2008,17,9/20/2019
569,BMW,Z4 M,2007,55,6/13/2020
570,Ford,LTD Crown Victoria,1986,64,3/28/2019
